iter	Passed	Remaining
409	4553	6552
410	4564	6541
411	4575	6530
412	4585	6517
413	4596	6506
414	4607	6494
415	4617	6482
416	4628	6471
417	4639	6459
418	4649	6447
419	4659	6435
420	4670	6422
421	4681	6412
422	4692	6400
423	4702	6388
424	4713	6376
425	4724	6365
426	4735	6354
427	4745	6342
428	4757	6331
429	4767	6320
430	4779	6309
431	4789	6297
432	4800	6285
433	4811	6275
434	4822	6263
435	4832	6250
436	4843	6239
437	4853	6227
438	4863	6215
439	4874	6204
440	4884	6191
441	4895	6180
442	4906	6169
443	4917	6157
444	4927	6146
445	4939	6135
446	4949	6122
447	4960	6112
448	4972	6101
449	4983	6090
450	4994	6080
451	5006	6070
452	5018	6059
453	5028	6047
454	5059	6060
455	5074	6054
456	5086	6043
457	5096	6031
458	5107	6019
459	5118	6008
460	5129	5997
461	5139	5984
462	5150	5973
463	5161	5961
464	5172	5950
465	5183	5939
466	5193	5927
467	5205	5917
468	5216	5905
469	5226	5893
470	5237	5882
471	5248	5871
472	5259	5859
473	5270	5848
474	5280	5836
475	5291	5824
476	5301	5813
477	5312	5801
478	5322	5789
479	5333	5777
480	5343	5765
481	5354	5754
482	5365	5743
483	5375	5731
484	5386	5719
485	5397	5708
486	5407	5696
487	5418	5685
488	5429	5673
489	5439	5661
490	5450	5650
491	5462	5640
492	5474	5629
493	5484	5617
494	5495	5606
495	5506	5595
496	5517	5583
497	5528	5572
498	5538	5560
499	5548	5548
500	5559	5537
501	5570	5525
502	5581	5514
503	5592	5503
504	5602	5491
505	5614	5480
506	5624	5469
507	5635	5457
508	5645	5446
509	5656	5434
510	5667	5423
511	5677	5411
512	5688	5400
513	5698	5388
514	5710	5377
515	5721	5366
516	5732	5355
517	5743	5344
518	5753	5332
519	5763	5320
520	5774	5308
521	5784	5296
522	5795	5285
523	5806	5274
524	5816	5262
525	5827	5251
526	5838	5239
527	5848	5227
528	5860	5217
529	5871	5206
530	5882	5195
531	5892	5183
532	5903	5172
533	5914	5161
534	5925	5150
535	5936	5138
536	5947	5127
537	5957	5115
538	5968	5104
539	5978	5092
540	5989	5081
541	6001	5071
542	6011	5059
543	6022	5047
544	6032	5036
545	6043	5025
546	6053	5013
547	6064	5002
548	6075	4990
549	6086	4979
550	6096	4967
551	6106	4955
552	6116	4944
553	6127	4932
554	6138	4921
555	6148	4910
556	6159	4898
557	6170	4887
558	6181	4876
559	6191	4864
560	6202	4853
561	6213	4842
562	6224	4831
563	6235	4820
564	6245	4808
565	6256	4797
566	6267	4786
567	6279	4775
568	6289	4764
569	6300	4753
570	6311	4742
571	6322	4730
572	6333	4719
573	6343	4708
574	6354	4696
575	6364	4684
576	6374	4673
577	6385	4662
578	6396	4651
579	6406	4639
580	6417	4627
581	6428	4616
582	6438	4605
583	6450	4594
